"Annotation Protein Groups Group ID"	"Checked"	"Tags"	"Annotation Accession"	"Annotation Level"	"Annotation Description"	"Annotation Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"2453"	"False"	""	"GO:0043523"	"IntermediateAnnotation"	"regulation of neuron apoptotic process"	"GOAnnotation"	"2"	"2"	"109"	"2"
"2454"	"False"	""	"GO:0150090"	"LeafAnnotation"	"multiple spine synapse organization, single dendrite"	"GOAnnotation"	"1"	"1"	"1"	"100"
"2455"	"False"	""	"GO:0150089"	"IntermediateAnnotation"	"multiple spine synapse organization"	"GOAnnotation"	"1"	"1"	"1"	"100"
"2456"	"False"	""	"GO:0160056"	"LeafAnnotation"	"macropinosome membrane"	"GOAnnotation"	"1"	"1"	"1"	"100"
"2457"	"False"	""	"GO:0044354"	"IntermediateAnnotation"	"macropinosome"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2458"	"False"	""	"GO:0044352"	"IntermediateAnnotation"	"pinosome"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2459"	"False"	""	"GO:1900272"	"LeafAnnotation"	"negative regulation of long-term synaptic potentiation"	"GOAnnotation"	"2"	"2"	"9"	"22"
"2460"	"False"	""	"GO:1903721"	"LeafAnnotation"	"positive regulation of I-kappaB phosphorylation"	"GOAnnotation"	"1"	"1"	"5"	"20"
"2461"	"False"	""	"GO:1903719"	"IntermediateAnnotation"	"regulation of I-kappaB phosphorylation"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2462"	"False"	""	"GO:1904139"	"IntermediateAnnotation"	"regulation of microglial cell migration"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2463"	"False"	""	"GO:1903975"	"IntermediateAnnotation"	"regulation of glial cell migration"	"GOAnnotation"	"1"	"1"	"13"	"8"
"2464"	"False"	""	"GO:1904141"	"LeafAnnotation"	"positive regulation of microglial cell migration"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2465"	"False"	""	"GO:1903977"	"IntermediateAnnotation"	"positive regulation of glial cell migration"	"GOAnnotation"	"1"	"1"	"9"	"11"
"2466"	"False"	""	"GO:1905523"	"IntermediateAnnotation"	"positive regulation of macrophage migration"	"GOAnnotation"	"1"	"1"	"20"	"5"
"2467"	"False"	""	"GO:1904150"	"LeafAnnotation"	"negative regulation of microglial cell mediated cytotoxicity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"2468"	"False"	""	"GO:0001911"	"IntermediateAnnotation"	"negative regulation of leukocyte mediated cytotoxicity"	"GOAnnotation"	"1"	"1"	"23"	"4"
"2469"	"False"	""	"GO:0002887"	"IntermediateAnnotation"	"negative regulation of myeloid leukocyte mediated immunity"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2470"	"False"	""	"GO:1904149"	"IntermediateAnnotation"	"regulation of microglial cell mediated cytotoxicity"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2471"	"False"	""	"GO:0031342"	"IntermediateAnnotation"	"negative regulation of cell killing"	"GOAnnotation"	"1"	"1"	"25"	"4"
"2472"	"False"	""	"Pf00405"	"LeafAnnotation"	"Transferrin"	"Pfam"	"1"	"1"	"3"	"33"
"2473"	"False"	""	"GO:0005905"	"IntermediateAnnotation"	"clathrin-coated pit"	"GOAnnotation"	"3"	"3"	"67"	"4"
"2474"	"False"	""	"GO:0008198"	"LeafAnnotation"	"ferrous iron binding"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2475"	"False"	""	"GO:0008199"	"LeafAnnotation"	"ferric iron binding"	"GOAnnotation"	"1"	"1"	"2"	"50"
"2476"	"False"	""	"GO:0009925"	"IntermediateAnnotation"	"basal plasma membrane"	"GOAnnotation"	"3"	"3"	"290"	"1"
"2477"	"False"	""	"GO:0045178"	"IntermediateAnnotation"	"basal part of cell"	"GOAnnotation"	"3"	"3"	"305"	"1"
"2478"	"False"	""	"GO:0016324"	"IntermediateAnnotation"	"apical plasma membrane"	"GOAnnotation"	"3"	"3"	"402"	"1"
"2479"	"False"	""	"GO:0045177"	"IntermediateAnnotation"	"apical part of cell"	"GOAnnotation"	"4"	"4"	"454"	"1"
"2480"	"False"	""	"GO:0030316"	"IntermediateAnnotation"	"osteoclast differentiation"	"GOAnnotation"	"1"	"1"	"34"	"3"
"2481"	"False"	""	"GO:0032436"	"IntermediateAnnotation"	"positive regulation of proteasomal ubiquitin-dependent protein catabolic process"	"GOAnnotation"	"2"	"2"	"28"	"7"
"2482"	"False"	""	"GO:0032434"	"IntermediateAnnotation"	"regulation of proteasomal ubiquitin-dependent protein catabolic process"	"GOAnnotation"	"2"	"2"	"38"	"5"
"2483"	"False"	""	"GO:1901800"	"IntermediateAnnotation"	"positive regulation of proteasomal protein catabolic process"	"GOAnnotation"	"2"	"2"	"41"	"5"
"2484"	"False"	""	"GO:2000060"	"IntermediateAnnotation"	"positive regulation of ubiquitin-dependent protein catabolic process"	"GOAnnotation"	"2"	"2"	"40"	"5"
"2485"	"False"	""	"GO:0061136"	"IntermediateAnnotation"	"regulation of proteasomal protein catabolic process"	"GOAnnotation"	"4"	"4"	"64"	"6"
"2486"	"False"	""	"GO:2000058"	"IntermediateAnnotation"	"regulation of ubiquitin-dependent protein catabolic process"	"GOAnnotation"	"2"	"2"	"52"	"4"
"2487"	"False"	""	"GO:1903052"	"IntermediateAnnotation"	"positive regulation of proteolysis involved in protein catabolic process"	"GOAnnotation"	"2"	"2"	"50"	"4"
"2488"	"False"	""	"GO:1903050"	"IntermediateAnnotation"	"regulation of proteolysis involved in protein catabolic process"	"GOAnnotation"	"4"	"4"	"76"	"5"
"2489"	"False"	""	"GO:0034756"	"IntermediateAnnotation"	"regulation of iron ion transport"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2490"	"False"	""	"GO:0010959"	"IntermediateAnnotation"	"regulation of metal ion transport"	"GOAnnotation"	"3"	"3"	"277"	"1"
"2491"	"False"	""	"GO:0043269"	"IntermediateAnnotation"	"regulation of monoatomic ion transport"	"GOAnnotation"	"3"	"3"	"335"	"1"
"2492"	"False"	""	"GO:0034986"	"LeafAnnotation"	"iron chaperone activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"2493"	"False"	""	"GO:0016530"	"IntermediateAnnotation"	"metallochaperone activity"	"GOAnnotation"	"1"	"1"	"5"	"20"
"2494"	"False"	""	"GO:0044325"	"LeafAnnotation"	"transmembrane transporter binding"	"GOAnnotation"	"2"	"2"	"108"	"2"
"2495"	"False"	""	"GO:0045780"	"LeafAnnotation"	"positive regulation of bone resorption"	"GOAnnotation"	"1"	"1"	"13"	"8"
"2496"	"False"	""	"GO:0045124"	"IntermediateAnnotation"	"regulation of bone resorption"	"GOAnnotation"	"1"	"1"	"30"	"3"
"2497"	"False"	""	"GO:0046850"	"IntermediateAnnotation"	"regulation of bone remodeling"	"GOAnnotation"	"1"	"1"	"35"	"3"
"2498"	"False"	""	"GO:0034103"	"IntermediateAnnotation"	"regulation of tissue remodeling"	"GOAnnotation"	"2"	"2"	"50"	"4"
"2499"	"False"	""	"GO:0055037"	"IntermediateAnnotation"	"recycling endosome"	"GOAnnotation"	"1"	"1"	"150"	"1"
"2500"	"False"	""	"GO:0060586"	"LeafAnnotation"	"multicellular organismal-level iron ion homeostasis"	"GOAnnotation"	"1"	"1"	"19"	"5"
"2501"	"False"	""	"GO:0140962"	"IntermediateAnnotation"	"multicellular organismal-level chemical homeostasis"	"GOAnnotation"	"1"	"1"	"54"	"2"
"2502"	"False"	""	"GO:0070371"	"LeafAnnotation"	"ERK1 and ERK2 cascade"	"GOAnnotation"	"1"	"1"	"32"	"3"
"2503"	"False"	""	"GO:0071281"	"IntermediateAnnotation"	"cellular response to iron ion"	"GOAnnotation"	"1"	"1"	"5"	"20"
"2504"	"False"	""	"GO:0010039"	"IntermediateAnnotation"	"response to iron ion"	"GOAnnotation"	"1"	"1"	"14"	"7"
"2505"	"False"	""	"GO:1990459"	"LeafAnnotation"	"transferrin receptor binding"	"GOAnnotation"	"1"	"1"	"10"	"10"
"2506"	"False"	""	"GO:1990712"	"LeafAnnotation"	"HFE-transferrin receptor complex"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2507"	"False"	""	"GO:1903142"	"LeafAnnotation"	"positive regulation of establishment of endothelial barrier"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2508"	"False"	""	"GO:1901552"	"IntermediateAnnotation"	"positive regulation of endothelial cell development"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2509"	"False"	""	"GO:1903140"	"IntermediateAnnotation"	"regulation of establishment of endothelial barrier"	"GOAnnotation"	"1"	"1"	"14"	"7"
"2510"	"False"	""	"GO:1901550"	"IntermediateAnnotation"	"regulation of endothelial cell development"	"GOAnnotation"	"1"	"1"	"14"	"7"
"2511"	"False"	""	"GO:0045601"	"IntermediateAnnotation"	"regulation of endothelial cell differentiation"	"GOAnnotation"	"1"	"1"	"23"	"4"
"2512"	"False"	""	"GO:0030856"	"IntermediateAnnotation"	"regulation of epithelial cell differentiation"	"GOAnnotation"	"1"	"1"	"61"	"2"
"2513"	"False"	""	"GO:0002542"	"LeafAnnotation"	"Factor XII activation"	"GOAnnotation"	"2"	"2"	"2"	"100"
"2514"	"False"	""	"GO:0002353"	"IntermediateAnnotation"	"plasma kallikrein-kinin cascade"	"GOAnnotation"	"2"	"2"	"3"	"67"
"2515"	"False"	""	"GO:0002254"	"IntermediateAnnotation"	"kinin cascade"	"GOAnnotation"	"2"	"2"	"3"	"67"
"2516"	"False"	""	"GO:0022617"	"IntermediateAnnotation"	"extracellular matrix disassembly"	"GOAnnotation"	"1"	"1"	"20"	"5"
"2517"	"False"	""	"GO:0034185"	"IntermediateAnnotation"	"apolipoprotein binding"	"GOAnnotation"	"3"	"3"	"17"	"18"
"2518"	"False"	""	"GO:0043536"	"IntermediateAnnotation"	"positive regulation of blood vessel endothelial cell migration"	"GOAnnotation"	"1"	"1"	"33"	"3"
"2519"	"False"	""	"GO:0043535"	"IntermediateAnnotation"	"regulation of blood vessel endothelial cell migration"	"GOAnnotation"	"3"	"3"	"53"	"6"
"2520"	"False"	""	"GO:0045445"	"IntermediateAnnotation"	"myoblast differentiation"	"GOAnnotation"	"1"	"1"	"14"	"7"
"2521"	"False"	""	"GO:0048771"	"IntermediateAnnotation"	"tissue remodeling"	"GOAnnotation"	"2"	"2"	"61"	"3"
"2522"	"False"	""	"GO:0060707"	"LeafAnnotation"	"trophoblast giant cell differentiation"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2523"	"False"	""	"GO:0060706"	"IntermediateAnnotation"	"cell differentiation involved in embryonic placenta development"	"GOAnnotation"	"1"	"1"	"10"	"10"
"2524"	"False"	""	"GO:0001892"	"IntermediateAnnotation"	"embryonic placenta development"	"GOAnnotation"	"2"	"2"	"32"	"6"
"2525"	"False"	""	"GO:0001890"	"IntermediateAnnotation"	"placenta development"	"GOAnnotation"	"2"	"2"	"52"	"4"
"2526"	"False"	""	"GO:0060716"	"LeafAnnotation"	"labyrinthine layer blood vessel development"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2527"	"False"	""	"GO:0060674"	"IntermediateAnnotation"	"placenta blood vessel development"	"GOAnnotation"	"2"	"2"	"16"	"12"
"2528"	"False"	""	"GO:0060711"	"IntermediateAnnotation"	"labyrinthine layer development"	"GOAnnotation"	"1"	"1"	"21"	"5"
"2529"	"False"	""	"GO:0071674"	"IntermediateAnnotation"	"mononuclear cell migration"	"GOAnnotation"	"1"	"1"	"74"	"1"
"2530"	"False"	""	"GO:0099183"	"LeafAnnotation"	"trans-synaptic signaling by BDNF, modulating synaptic transmission"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2531"	"False"	""	"GO:0099191"	"IntermediateAnnotation"	"trans-synaptic signaling by BDNF"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2532"	"False"	""	"GO:0099550"	"IntermediateAnnotation"	"trans-synaptic signaling, modulating synaptic transmission"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2533"	"False"	""	"GO:0099537"	"IntermediateAnnotation"	"trans-synaptic signaling"	"GOAnnotation"	"2"	"2"	"342"	"1"
"2534"	"False"	""	"GO:0099536"	"IntermediateAnnotation"	"synaptic signaling"	"GOAnnotation"	"2"	"2"	"364"	"1"
"2535"	"False"	""	"GO:1990405"	"LeafAnnotation"	"protein antigen binding"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2536"	"False"	""	"GO:2000048"	"LeafAnnotation"	"negative regulation of cell-cell adhesion mediated by cadherin"	"GOAnnotation"	"1"	"1"	"4"	"25"
"2537"	"False"	""	"GO:0022408"	"IntermediateAnnotation"	"negative regulation of cell-cell adhesion"	"GOAnnotation"	"3"	"3"	"108"	"3"
"2538"	"False"	""	"GO:0008211"	"IntermediateAnnotation"	"glucocorticoid metabolic process"	"GOAnnotation"	"2"	"2"	"8"	"25"
"2539"	"False"	""	"GO:0010543"	"IntermediateAnnotation"	"regulation of platelet activation"	"GOAnnotation"	"3"	"3"	"40"	"8"
"2540"	"False"	""	"GO:0010593"	"LeafAnnotation"	"negative regulation of lamellipodium assembly"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2541"	"False"	""	"GO:0010591"	"IntermediateAnnotation"	"regulation of lamellipodium assembly"	"GOAnnotation"	"1"	"1"	"22"	"5"
"2542"	"False"	""	"GO:0120033"	"IntermediateAnnotation"	"negative regulation of plasma membrane bounded cell projection assembly"	"GOAnnotation"	"1"	"1"	"19"	"5"
"2543"	"False"	""	"GO:1902744"	"IntermediateAnnotation"	"negative regulation of lamellipodium organization"	"GOAnnotation"	"1"	"1"	"4"	"25"
"2544"	"False"	""	"GO:1902743"	"IntermediateAnnotation"	"regulation of lamellipodium organization"	"GOAnnotation"	"1"	"1"	"31"	"3"
"2545"	"False"	""	"GO:0031345"	"IntermediateAnnotation"	"negative regulation of cell projection organization"	"GOAnnotation"	"2"	"2"	"105"	"2"
"2546"	"False"	""	"GO:0016525"	"IntermediateAnnotation"	"negative regulation of angiogenesis"	"GOAnnotation"	"2"	"2"	"53"	"4"
"2547"	"False"	""	"GO:2000181"	"IntermediateAnnotation"	"negative regulation of blood vessel morphogenesis"	"GOAnnotation"	"2"	"2"	"54"	"4"
"2548"	"False"	""	"GO:1901343"	"IntermediateAnnotation"	"negative regulation of vasculature development"	"GOAnnotation"	"2"	"2"	"54"	"4"
"2549"	"False"	""	"GO:0033629"	"IntermediateAnnotation"	"negative regulation of cell adhesion mediated by integrin"	"GOAnnotation"	"1"	"1"	"7"	"14"
"2550"	"False"	""	"GO:0033628"	"IntermediateAnnotation"	"regulation of cell adhesion mediated by integrin"	"GOAnnotation"	"1"	"1"	"32"	"3"
"2551"	"False"	""	"GO:0043395"	"LeafAnnotation"	"heparan sulfate proteoglycan binding"	"GOAnnotation"	"3"	"3"	"11"	"27"
"2552"	"False"	""	"GO:0043394"	"IntermediateAnnotation"	"proteoglycan binding"	"GOAnnotation"	"4"	"4"	"22"	"18"
"2553"	"False"	""	"GO:0043537"	"IntermediateAnnotation"	"negative regulation of blood vessel endothelial cell migration"	"GOAnnotation"	"2"	"2"	"20"	"10"
"2554"	"False"	""	"GO:0010596"	"IntermediateAnnotation"	"negative regulation of endothelial cell migration"	"GOAnnotation"	"3"	"3"	"27"	"11"
"2555"	"False"	""	"GO:0051894"	"LeafAnnotation"	"positive regulation of focal adhesion assembly"	"GOAnnotation"	"1"	"1"	"19"	"5"
"2556"	"False"	""	"GO:0001954"	"IntermediateAnnotation"	"positive regulation of cell-matrix adhesion"	"GOAnnotation"	"1"	"1"	"39"	"3"
"2557"	"False"	""	"GO:0150117"	"IntermediateAnnotation"	"positive regulation of cell-substrate junction organization"	"GOAnnotation"	"1"	"1"	"21"	"5"
"2558"	"False"	""	"GO:1901890"	"IntermediateAnnotation"	"positive regulation of cell junction assembly"	"GOAnnotation"	"2"	"2"	"80"	"2"
"2559"	"False"	""	"GO:0061844"	"IntermediateAnnotation"	"antimicrobial humoral immune response mediated by antimicrobial peptide"	"GOAnnotation"	"2"	"2"	"24"	"8"
"2560"	"False"	""	"GO:1900747"	"LeafAnnotation"	"negative regulation of vascular endothelial growth factor signaling pathway"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2561"	"False"	""	"GO:1900746"	"IntermediateAnnotation"	"regulation of vascular endothelial growth factor signaling pathway"	"GOAnnotation"	"1"	"1"	"14"	"7"
"2562"	"False"	""	"GO:1902548"	"IntermediateAnnotation"	"negative regulation of cellular response to vascular endothelial growth factor stimulus"	"GOAnnotation"	"1"	"1"	"9"	"11"
"2563"	"False"	""	"GO:1902547"	"IntermediateAnnotation"	"regulation of cellular response to vascular endothelial growth factor stimulus"	"GOAnnotation"	"1"	"1"	"15"	"7"
"2564"	"False"	""	"GO:0090288"	"IntermediateAnnotation"	"negative regulation of cellular response to growth factor stimulus"	"GOAnnotation"	"2"	"2"	"48"	"4"
"2565"	"False"	""	"GO:2000504"	"IntermediateAnnotation"	"positive regulation of blood vessel remodeling"	"GOAnnotation"	"1"	"1"	"2"	"50"
"2566"	"False"	""	"GO:0034105"	"IntermediateAnnotation"	"positive regulation of tissue remodeling"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2567"	"False"	""	"GO:0060312"	"IntermediateAnnotation"	"regulation of blood vessel remodeling"	"GOAnnotation"	"1"	"1"	"7"	"14"
"2568"	"False"	""	"GO:2001027"	"IntermediateAnnotation"	"negative regulation of endothelial cell chemotaxis"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2569"	"False"	""	"GO:2001026"	"IntermediateAnnotation"	"regulation of endothelial cell chemotaxis"	"GOAnnotation"	"1"	"1"	"12"	"8"
"2570"	"False"	""	"Pf09396"	"LeafAnnotation"	"Thrombin light chain"	"Pfam"	"1"	"1"	"1"	"100"
"2571"	"False"	""	"GO:0001530"	"LeafAnnotation"	"lipopolysaccharide binding"	"GOAnnotation"	"2"	"2"	"19"	"11"
"2572"	"False"	""	"GO:0008083"	"LeafAnnotation"	"growth factor activity"	"GOAnnotation"	"2"	"2"	"51"	"4"
"2573"	"False"	""	"GO:0010544"	"IntermediateAnnotation"	"negative regulation of platelet activation"	"GOAnnotation"	"2"	"2"	"12"	"17"
"2574"	"False"	""	"GO:0030307"	"IntermediateAnnotation"	"positive regulation of cell growth"	"GOAnnotation"	"2"	"2"	"83"	"2"
"2575"	"False"	""	"GO:0045927"	"IntermediateAnnotation"	"positive regulation of growth"	"GOAnnotation"	"2"	"2"	"124"	"2"
"2576"	"False"	""	"GO:0048712"	"IntermediateAnnotation"	"negative regulation of astrocyte differentiation"	"GOAnnotation"	"1"	"1"	"5"	"20"
"2577"	"False"	""	"GO:0045686"	"IntermediateAnnotation"	"negative regulation of glial cell differentiation"	"GOAnnotation"	"1"	"1"	"9"	"11"
"2578"	"False"	""	"GO:0048710"	"IntermediateAnnotation"	"regulation of astrocyte differentiation"	"GOAnnotation"	"1"	"1"	"12"	"8"
"2579"	"False"	""	"GO:0014014"	"IntermediateAnnotation"	"negative regulation of gliogenesis"	"GOAnnotation"	"1"	"1"	"14"	"7"
"2580"	"False"	""	"GO:0045685"	"IntermediateAnnotation"	"regulation of glial cell differentiation"	"GOAnnotation"	"1"	"1"	"33"	"3"
"2581"	"False"	""	"GO:0014013"	"IntermediateAnnotation"	"regulation of gliogenesis"	"GOAnnotation"	"1"	"1"	"42"	"2"
"2582"	"False"	""	"GO:0050768"	"IntermediateAnnotation"	"negative regulation of neurogenesis"	"GOAnnotation"	"1"	"1"	"66"	"2"
"2583"	"False"	""	"GO:0051961"	"IntermediateAnnotation"	"negative regulation of nervous system development"	"GOAnnotation"	"1"	"1"	"73"	"1"
"2584"	"False"	""	"GO:0051281"	"IntermediateAnnotation"	"positive regulation of release of sequestered calcium ion into cytosol"	"GOAnnotation"	"1"	"1"	"29"	"3"
"2585"	"False"	""	"GO:0051279"	"IntermediateAnnotation"	"regulation of release of sequestered calcium ion into cytosol"	"GOAnnotation"	"1"	"1"	"50"	"2"
"2586"	"False"	""	"GO:1904427"	"IntermediateAnnotation"	"positive regulation of calcium ion transmembrane transport"	"GOAnnotation"	"1"	"1"	"61"	"2"
"2587"	"False"	""	"GO:0051282"	"IntermediateAnnotation"	"regulation of sequestering of calcium ion"	"GOAnnotation"	"1"	"1"	"83"	"1"
"2588"	"False"	""	"GO:1903169"	"IntermediateAnnotation"	"regulation of calcium ion transmembrane transport"	"GOAnnotation"	"1"	"1"	"114"	"1"
"2589"	"False"	""	"GO:0051928"	"IntermediateAnnotation"	"positive regulation of calcium ion transport"	"GOAnnotation"	"1"	"1"	"87"	"1"
"2590"	"False"	""	"GO:1904064"	"IntermediateAnnotation"	"positive regulation of cation transmembrane transport"	"GOAnnotation"	"1"	"1"	"106"	"1"
"2591"	"False"	""	"GO:0051924"	"IntermediateAnnotation"	"regulation of calcium ion transport"	"GOAnnotation"	"1"	"1"	"170"	"1"
"2592"	"False"	""	"GO:1904062"	"IntermediateAnnotation"	"regulation of monoatomic cation transmembrane transport"	"GOAnnotation"	"2"	"2"	"210"	"1"
"2593"	"False"	""	"GO:0043270"	"IntermediateAnnotation"	"positive regulation of monoatomic ion transport"	"GOAnnotation"	"1"	"1"	"162"	"1"
"2594"	"False"	""	"GO:0034767"	"IntermediateAnnotation"	"positive regulation of monoatomic ion transmembrane transport"	"GOAnnotation"	"1"	"1"	"116"	"1"
"2595"	"False"	""	"GO:0034765"	"IntermediateAnnotation"	"regulation of monoatomic ion transmembrane transport"	"GOAnnotation"	"2"	"2"	"244"	"1"
"2596"	"False"	""	"GO:0051480"	"IntermediateAnnotation"	"regulation of cytosolic calcium ion concentration"	"GOAnnotation"	"1"	"1"	"44"	"2"
"2597"	"False"	""	"GO:0006874"	"IntermediateAnnotation"	"intracellular calcium ion homeostasis"	"GOAnnotation"	"2"	"2"	"115"	"2"
"2598"	"False"	""	"GO:0070053"	"LeafAnnotation"	"thrombospondin receptor activity"	"GOAnnotation"	"1"	"1"	"4"	"25"
"2599"	"False"	""	"GO:0070945"	"LeafAnnotation"	"neutrophil-mediated killing of gram-negative bacterium"	"GOAnnotation"	"1"	"1"	"2"	"50"
"2600"	"False"	""	"GO:0070944"	"IntermediateAnnotation"	"neutrophil-mediated killing of bacterium"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2601"	"False"	""	"GO:0070943"	"IntermediateAnnotation"	"neutrophil-mediated killing of symbiont cell"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2602"	"False"	""	"GO:0070942"	"IntermediateAnnotation"	"neutrophil mediated cytotoxicity"	"GOAnnotation"	"1"	"1"	"6"	"17"
"2603"	"False"	""	"GO:0001909"	"IntermediateAnnotation"	"leukocyte mediated cytotoxicity"	"GOAnnotation"	"1"	"1"	"52"	"2"
"2604"	"False"	""	"GO:0002446"	"IntermediateAnnotation"	"neutrophil mediated immunity"	"GOAnnotation"	"1"	"1"	"20"	"5"
"2605"	"False"	""	"GO:0090218"	"IntermediateAnnotation"	"positive regulation of lipid kinase activity"	"GOAnnotation"	"1"	"1"	"2"	"50"
"2606"	"False"	""	"GO:0033674"	"IntermediateAnnotation"	"positive regulation of kinase activity"	"GOAnnotation"	"3"	"3"	"156"	"2"
"2607"	"False"	""	"GO:0043550"	"IntermediateAnnotation"	"regulation of lipid kinase activity"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2608"	"False"	""	"GO:0051347"	"IntermediateAnnotation"	"positive regulation of transferase activity"	"GOAnnotation"	"7"	"7"	"172"	"4"
"2609"	"False"	""	"GO:1900182"	"IntermediateAnnotation"	"positive regulation of protein localization to nucleus"	"GOAnnotation"	"1"	"1"	"40"	"2"
"2610"	"False"	""	"GO:1900738"	"LeafAnnotation"	"positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway"	"GOAnnotation"	"1"	"1"	"2"	"50"
"2611"	"False"	""	"GO:1900736"	"IntermediateAnnotation"	"regulation of phospholipase C-activating G protein-coupled receptor signaling pathway"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2612"	"False"	""	"GO:1990806"	"IntermediateAnnotation"	"ligand-gated ion channel signaling pathway"	"GOAnnotation"	"1"	"1"	"28"	"4"
"2613"	"False"	""	"GO:2000379"	"IntermediateAnnotation"	"positive regulation of reactive oxygen species metabolic process"	"GOAnnotation"	"2"	"2"	"48"	"4"
"2614"	"False"	""	"Pf04691"	"LeafAnnotation"	"Apolipoprotein C-I (ApoC-1)"	"Pfam"	"1"	"1"	"1"	"100"
"2615"	"False"	""	"GO:0004859"	"IntermediateAnnotation"	"phospholipase inhibitor activity"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2616"	"False"	""	"GO:0010900"	"LeafAnnotation"	"negative regulation of phosphatidylcholine catabolic process"	"GOAnnotation"	"1"	"1"	"1"	"100"
"2617"	"False"	""	"GO:0010899"	"IntermediateAnnotation"	"regulation of phosphatidylcholine catabolic process"	"GOAnnotation"	"1"	"1"	"3"	"33"
"2618"	"False"	""	"GO:0150174"	"IntermediateAnnotation"	"negative regulation of phosphatidylcholine metabolic process"	"GOAnnotation"	"1"	"1"	"2"	"50"
"2619"	"False"	""	"GO:0150172"	"IntermediateAnnotation"	"regulation of phosphatidylcholine metabolic process"	"GOAnnotation"	"1"	"1"	"9"	"11"
"2620"	"False"	""	"GO:1903726"	"IntermediateAnnotation"	"negative regulation of phospholipid metabolic process"	"GOAnnotation"	"1"	"1"	"5"	"20"
"2621"	"False"	""	"GO:0034447"	"LeafAnnotation"	"very-low-density lipoprotein particle clearance"	"GOAnnotation"	"2"	"2"	"3"	"67"
"2622"	"False"	""	"GO:0060228"	"LeafAnnotation"	"phosphatidylcholine-sterol O-acyltransferase activator activity"	"GOAnnotation"	"5"	"5"	"6"	"83"
"2623"	"False"	""	"Pf00517"	"LeafAnnotation"	"Retroviral envelope protein"	"Pfam"	"1"	"1"	"10"	"10"
"2624"	"False"	""	"Pf13804"	"LeafAnnotation"	"Retro-transcribing viruses envelope glycoprotein"	"Pfam"	"1"	"1"	"10"	"10"
"2625"	"False"	""	"GO:1990234"	"IntermediateAnnotation"	"transferase complex"	"GOAnnotation"	"1"	"1"	"136"	"1"
"2626"	"False"	""	"GO:1902494"	"IntermediateAnnotation"	"catalytic complex"	"GOAnnotation"	"2"	"2"	"322"	"1"
"2627"	"False"	""	"Pf18487"	"LeafAnnotation"	"Thrombospondin type 1 repeat"	"Pfam"	"1"	"1"	"1"	"100"
"2628"	"False"	""	"Pf22195"	"LeafAnnotation"	"CFP-like, C-terminal thrombospondin type 1 domain"	"Pfam"	"1"	"1"	"1"	"100"
"2629"	"False"	""	"GO:0098548"	"LeafAnnotation"	"cytoplasmic side of Golgi membrane"	"GOAnnotation"	"1"	"1"	"1"	"100"
"2630"	"False"	""	"GO:1903028"	"LeafAnnotation"	"positive regulation of opsonization"	"GOAnnotation"	"1"	"1"	"8"	"12"
"2631"	"False"	""	"Pf00063"	"LeafAnnotation"	"Myosin head (motor domain)"	"Pfam"	"1"	"1"	"16"	"6"
"2632"	"False"	""	"Pf16521"	"LeafAnnotation"	"Myosin VI cargo binding domain"	"Pfam"	"1"	"1"	"1"	"100"
"2633"	"False"	""	"Pf21521"	"LeafAnnotation"	"Myosin VI, lever arm"	"Pfam"	"1"	"1"	"1"	"100"
"2634"	"False"	""	"GO:0000146"	"IntermediateAnnotation"	"microfilament motor activity"	"GOAnnotation"	"1"	"1"	"15"	"7"
"2635"	"False"	""	"GO:0003774"	"IntermediateAnnotation"	"cytoskeletal motor activity"	"GOAnnotation"	"1"	"1"	"29"	"3"
"2636"	"False"	""	"GO:0001726"	"IntermediateAnnotation"	"ruffle"	"GOAnnotation"	"1"	"1"	"128"	"1"
